m3c2_sn_erosion_volume_m3,dod_erosion_volume_m3,mean_slope_deg
-809.4444580078125,-873.6400146484375,26.96273422241211
-134.2174530029297,-164.000244140625,30.86754608154297
-135.1034698486328,-140.570068359375,25.73855972290039
-776.6328125,-856.0159301757812,25.12346649169922
-272.58245849609375,-364.13079833984375,20.421579360961914
-950.9574584960938,-923.4237060546875,23.565053939819336
-16.88295555114746,-11.939696311950684,32.03453826904297
-32.857852935791016,-30.782726287841797,25.993751525878906
-415.4338073730469,-408.6488342285156,23.756187438964844
-14.796595573425293,-11.145946502685547,30.887704849243164
-30.563295364379883,-21.132753372192383,25.734405517578125
-712.0421142578125,-701.2139282226562,21.51968002319336
-223.8692169189453,-219.7186737060547,27.03761100769043
-234.49493408203125,-257.5494384765625,28.10309410095215
-263.1466064453125,-242.13369750976562,28.200777053833008
-142.58078002929688,-151.9575653076172,31.773902893066406
-16.1806640625,-15.471165657043457,22.833852767944336
-82.52165985107422,-78.29395294189453,29.53968620300293
-72.22787475585938,-87.3914566040039,30.243223190307617
-72.70405578613281,-83.09661102294922,27.247180938720703
-21.952608108520508,-20.00876808166504,27.025243759155273
-44.458797454833984,-44.098663330078125,31.457324981689453
-153.64306640625,-159.15423583984375,24.3803653717041
-58.4384651184082,-66.99539184570312,32.38662338256836
-54.989402770996094,-54.289737701416016,34.716732025146484
-41.170448303222656,-33.56500244140625,29.60386085510254
-185.5739288330078,-171.86727905273438,22.559295654296875
-19.977493286132812,-13.935832977294922,32.019107818603516
-16.95884895324707,-18.90945816040039,27.953231811523438
-20.371337890625,-14.680156707763672,26.71121597290039
-340.33245849609375,-309.86480712890625,33.20559310913086
-12.131048202514648,-11.424798011779785,30.98186683654785
-137.38107299804688,-151.3468780517578,29.53748321533203
-288.2847900390625,-230.7333984375,23.387666702270508
-20.833316802978516,-20.572288513183594,27.342435836791992
-60.589622497558594,-67.12873077392578,24.46769142150879
-135.50482177734375,-113.95185089111328,29.20160484313965
-38.3194580078125,-48.03476333618164,32.06488800048828
-137.5775146484375,-155.7615203857422,26.398517608642578
-18.191831588745117,-24.941091537475586,32.52237319946289
-495.5633239746094,-484.3969421386719,25.528636932373047
-30.266101837158203,-33.59530258178711,34.963409423828125
-13.2985258102417,-11.365389823913574,28.711008071899414
-15.4327974319458,-13.596593856811523,33.74571228027344
-43.77880859375,-45.72118377685547,35.674461364746094
-38.336910247802734,-40.2642707824707,26.302867889404297
-8.63279914855957,-8.527081489562988,27.641674041748047
-161.69248962402344,-143.45452880859375,24.057579040527344
-7.1173810958862305,-4.879199504852295,27.205141067504883
-44.42018508911133,-23.314472198486328,28.234416961669922
-79.96028137207031,-76.04508209228516,32.640602111816406
-147.3323211669922,-153.17247009277344,30.998193740844727
-968.86865234375,-902.0886840820312,24.637893676757812
-454.4217529296875,-438.7604675292969,26.253578186035156
-2953.380615234375,-2397.68310546875,23.091211318969727
-140.97515869140625,-149.65158081054688,28.910228729248047
-50.871002197265625,-57.262393951416016,28.622276306152344
-65.88360595703125,-69.29788208007812,27.75910758972168
-2241.036376953125,-2339.643310546875,22.731327056884766
-540.8218994140625,-424.67352294921875,18.96397590637207
-2703.55029296875,-2636.574462890625,20.10822105407715
-12.092162132263184,-10.016908645629883,24.792842864990234
-7.591244220733643,-11.449999809265137,28.05569076538086
-385.6394348144531,-232.36782836914062,19.826282501220703
-18.814132690429688,-21.131559371948242,34.967506408691406
-37.34650802612305,-38.61006164550781,26.306665420532227
-83.51293182373047,-78.42830657958984,28.0426025390625
-105.65933227539062,-104.50772857666016,29.017398834228516
-91.60008239746094,-102.39602661132812,28.18758773803711
-58.40055847167969,-57.99734115600586,39.067970275878906
-144.66152954101562,-119.91865539550781,30.977537155151367
-38.54267883300781,-41.661865234375,34.45927810668945
-13.77483081817627,-43.51282501220703,25.34332275390625
-49.06366729736328,-43.42384338378906,29.97247314453125
-63.33924102783203,-75.16459655761719,29.28270149230957
-55.803138732910156,-77.40647888183594,23.92763900756836
-38.82688903808594,-41.923343658447266,30.292156219482422
-25.13910675048828,-43.75439453125,29.405044555664062
-64.41407012939453,-112.62081146240234,23.978633880615234
-64.52469635009766,-49.36725997924805,26.449817657470703
-13.509777069091797,-7.4565253257751465,35.696041107177734
-375.4381103515625,-389.0706481933594,26.95428466796875
-247.4224395751953,-268.95098876953125,27.783946990966797
-87.26493835449219,-51.447227478027344,23.4186954498291
-359.55426025390625,-347.12725830078125,29.183940887451172
-214.45016479492188,-183.2138671875,25.53251075744629
-40.72705841064453,-43.136722564697266,34.77825164794922
-39.12797546386719,-37.62273025512695,18.599130630493164
-49.9344596862793,-35.34965133666992,30.629981994628906
-8.144681930541992,-5.075713634490967,27.521799087524414
-347.98931884765625,-280.28656005859375,26.275304794311523
-23.47718048095703,-29.842071533203125,31.482213973999023
-157.3689727783203,-146.0262451171875,31.306127548217773
-279.78936767578125,-321.22674560546875,29.922679901123047
-121.43749237060547,-128.35484313964844,29.00841522216797
-73.02334594726562,-87.44734954833984,30.711130142211914
-97.87699127197266,-95.12752532958984,23.791698455810547
-88.94664764404297,-104.11196899414062,29.250972747802734
-26.635847091674805,-29.567590713500977,26.80417251586914
-36.71223068237305,-36.354827880859375,29.7346248626709
-158.54931640625,-124.54806518554688,22.341136932373047
-44.03997039794922,-59.64566421508789,28.032012939453125
-22.261219024658203,-30.315061569213867,30.817441940307617
-170.46559143066406,-229.00753784179688,25.345916748046875
-91.60671997070312,-139.65731811523438,29.463346481323242
-1092.580078125,-1083.3223876953125,25.60888671875
-868.3206787109375,-858.8810424804688,28.5948543548584
-56.02751922607422,-83.97086334228516,23.641857147216797
-20.5258846282959,-25.202547073364258,29.53860855102539
-104.21710968017578,-67.51435852050781,22.560941696166992
-156.36953735351562,-143.1170196533203,23.323209762573242
-29.72796630859375,-30.569568634033203,22.67073631286621
-223.72496032714844,-187.75660705566406,27.555072784423828
-11.086615562438965,-13.68431282043457,24.252391815185547
-102.43590545654297,-50.94196701049805,24.77458381652832
-21.94136619567871,-15.838837623596191,28.392059326171875
-167.89967346191406,-218.43678283691406,33.02780532836914
-210.7501983642578,-180.74368286132812,30.54085922241211
-145.36886596679688,-171.26364135742188,32.457088470458984
-56.934600830078125,-73.86129760742188,29.416847229003906
-85.95423126220703,-76.86354064941406,20.16482925415039
-16.678232192993164,-18.898372650146484,30.42511749267578
-10.581685066223145,-13.36760425567627,27.59357261657715
-56.631500244140625,-81.63455200195312,29.212890625
-83.96650695800781,-76.3057861328125,23.146093368530273
-289.21820068359375,-216.7415008544922,25.272165298461914
-346.771484375,-262.4498291015625,22.645999908447266
-73.92514038085938,-90.48072052001953,28.584632873535156
-248.7547607421875,-286.790283203125,27.811019897460938
-44.52476501464844,-46.641483306884766,26.706035614013672
-14.818416595458984,-7.155962944030762,35.25654602050781
-43.50800704956055,-32.30928421020508,26.42013931274414
-9.153421401977539,-8.02694320678711,32.430580139160156
-1.186561942100525,-2.412950277328491,24.625009536743164
-1287.03515625,-1394.331787109375,23.542781829833984
-36.581050872802734,-33.64280700683594,27.829702377319336
-20.730127334594727,-18.37197494506836,35.66007995605469
-8.155439376831055,-7.218801021575928,27.753528594970703
-8.12329387664795,-7.584712028503418,22.103965759277344
-73.57697296142578,-48.73291778564453,25.883726119995117
-13.242691993713379,-7.39176607131958,28.670108795166016
-16.431947708129883,-8.107924461364746,35.935142517089844
-42.26178741455078,-21.906055450439453,33.876243591308594
-1.6141258478164673,-4.250621795654297,23.672792434692383
-34.932151794433594,-29.624052047729492,27.181854248046875
-49.14164352416992,-38.43640899658203,27.896472930908203
-25.956798553466797,-23.456592559814453,30.698638916015625
-65.22216033935547,-58.90452575683594,28.55259132385254
-8.606983184814453,-8.54111385345459,26.268037796020508
-11.689550399780273,-11.693443298339844,29.184480667114258
-7.39171838760376,-4.375753879547119,21.672006607055664
-12.574260711669922,-13.476851463317871,31.265716552734375
-24.09914779663086,-19.634275436401367,34.686866760253906
-76.8373031616211,-121.4065933227539,28.706605911254883
-29.49374008178711,-22.234689712524414,28.709659576416016
-27.090524673461914,-24.534343719482422,26.916969299316406
-7.011940002441406,-4.604069709777832,34.748592376708984
-53.535804748535156,-49.727237701416016,34.69145202636719
-7.015279769897461,-4.516090393066406,33.9761848449707
-6.915025234222412,-5.581295013427734,32.8216552734375
-23.23197364807129,-28.203439712524414,24.176591873168945
-2.625148296356201,-2.056417226791382,28.412540435791016
-15.290323257446289,-16.288204193115234,30.295991897583008
-3.9479429721832275,-2.321181535720825,21.397201538085938
-10.243319511413574,-8.111316680908203,28.852825164794922
-8.39130973815918,-6.877464294433594,28.714147567749023
-7.492221832275391,-6.389735698699951,26.430313110351562
-15.51036262512207,-16.17655372619629,29.21973419189453
-35.42368698120117,-33.08600616455078,31.16015625
-26.381711959838867,-24.685001373291016,29.115636825561523
-208.82957458496094,-113.93409729003906,29.26922607421875
-129.60009765625,-95.2161636352539,21.30840492248535
-17.52759552001953,-15.792459487915039,25.552915573120117
-10.572168350219727,-24.166824340820312,26.930740356445312
-51.379432678222656,-42.462711334228516,22.47599983215332
-37.13356399536133,-34.463626861572266,32.893558502197266
-41.36103057861328,-32.44811248779297,23.238475799560547
-44.506752014160156,-32.7945556640625,24.88811683654785
-30.044906616210938,-28.293195724487305,28.85459327697754
-21.198514938354492,-16.108699798583984,27.40530776977539
-15.948948860168457,-15.278770446777344,26.989587783813477
-67.41322326660156,-61.86665725708008,31.124067306518555
-32.71892166137695,-24.179410934448242,36.51348876953125
-51.1313362121582,-61.30131530761719,31.21278190612793
-365.69097900390625,-439.6054992675781,22.25284767150879
-182.47914123535156,-182.14645385742188,25.742124557495117
-16.108524322509766,-16.414705276489258,26.891979217529297
-40.06551742553711,-30.4993953704834,25.127365112304688
-33.83700942993164,-32.10695266723633,35.96023941040039
-25.117900848388672,-25.411226272583008,35.67042541503906
-11.068879127502441,-8.654181480407715,22.091651916503906
-23.059022903442383,-32.169761657714844,32.04780960083008
-3.271411657333374,-4.7477593421936035,35.79812240600586
-10.065656661987305,-9.290353775024414,29.21746063232422
-24.614055633544922,-21.25801658630371,30.903268814086914
-9.328683853149414,-10.1886568069458,29.365819931030273
-139.40806579589844,-144.3419647216797,30.900352478027344
-93.57012939453125,-105.93455505371094,26.64295768737793
-16.23331642150879,-16.209381103515625,32.51634216308594
-14.513962745666504,-12.258670806884766,26.985097885131836
-79.078369140625,-50.609371185302734,25.690326690673828
-339.6781311035156,-256.8326416015625,26.134740829467773
-15.17700481414795,-29.98811149597168,28.599367141723633
-66.26557159423828,-42.08144760131836,24.646242141723633
-197.8392791748047,-123.03704071044922,22.732885360717773
