Date,Buckhorn,Jackson,Oneida,Whitesburg
2017-05-08 00:00:00,0,0.762,0,0
2017-05-09 00:00:00,10.922,9.906,6.858,9.144
2017-05-10 00:00:00,0,0,0,1.778
2017-05-11 00:00:00,0,13.716,0,0
2017-05-12 00:00:00,2.794,10.16,4.572,5.842
2017-05-13 00:00:00,0,0,18.288,22.098
2017-05-14 00:00:00,0,0,0,0
2017-05-15 00:00:00,0,0,0,0
2017-05-16 00:00:00,0,0,0,0
2017-05-17 00:00:00,0,0,0,0
2017-05-18 00:00:00,0,0,0,0
2017-05-19 00:00:00,4.572,46.99,9.398,0
2017-05-20 00:00:00,33.528,1.016,21.336,19.304
2017-05-21 00:00:00,1.27,5.334,17.78,9.398
2017-05-22 00:00:00,4.572,0,9.398,3.302
2017-05-23 00:00:00,0,3.048,0.254,0
2017-05-24 00:00:00,11.43,9.652,8.128,18.288
2017-05-25 00:00:00,15.748,19.558,0,18.542
2017-05-26 00:00:00,20.32,0,0,15.24
2017-05-27 00:00:00,0,36.322,0,0
2017-05-28 00:00:00,17.272,0,8.636,44.704
2017-05-29 00:00:00,0.762,0,0,0
2017-05-30 00:00:00,0,1.016,0,0
2017-05-31 00:00:00,0,3.048,0,0
2017-06-01 00:00:00,0,0,0,0
2017-06-02 00:00:00,0,0,0,5.08
2017-06-03 00:00:00,0,0,0,0
2017-06-04 00:00:00,0,0,0,0
2017-06-05 00:00:00,1.524,34.29,0,1.27
2017-06-06 00:00:00,18.542,0,8.89,9.398
2017-06-07 00:00:00,0,0,0,0
2017-06-08 00:00:00,0,0,0,0
2017-06-09 00:00:00,0,0,0,7.112
2017-06-10 00:00:00,0,0,0,0
2017-06-11 00:00:00,0,0,0,0
2017-06-12 00:00:00,0,0,0,0
2017-06-13 00:00:00,0,41.91,0,0
2017-06-14 00:00:00,2.54,1.016,7.366,3.048
2017-06-15 00:00:00,2.54,1.27,1.27,1.016
2017-06-16 00:00:00,0,0,0.762,1.016
2017-06-17 00:00:00,0,0,0,1.524
